Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-03,119.965,120.591,116.552,117.002,5684500,0.0,0.0
2019-01-04,118.889,122.205,118.625,121.508,5649900,0.0,0.0
2019-01-07,121.103,122.778,120.159,122.267,4034200,0.0,0.0
2019-01-08,133.21,134.824,131.429,132.937,10558800,0.0,0.0
2019-01-09,132.531,133.21,131.05,132.593,4284600,0.0,0.0
2019-01-10,132.187,136.941,131.403,136.385,6444600,0.0,0.0
2019-01-11,135.486,136.711,135.001,135.106,3845200,0.0,0.0
2019-01-14,134.242,136.015,133.731,135.706,3507100,0.0,0.0
2019-01-15,135.618,136.12,133.81,134.463,4685100,0.0,0.0
2019-01-16,134.842,135.565,133.078,134.013,4053200,0.0,0.0
2019-01-17,133.254,136.614,133.096,136.367,4075400,0.0,0.0
2019-01-18,137.161,140.036,136.694,139.63,5003900,0.0,0.0
2019-01-22,138.387,138.625,136.165,136.702,6052900,0.0,0.0
2019-01-23,137.082,137.584,134.418,136.094,4858000,0.0,0.0
2019-01-24,141.129,141.764,137.575,141.394,9222400,0.0,0.0
2019-01-25,142.381,142.858,141.288,141.932,7770700,0.0,0.0
2019-01-28,141.094,141.791,140.512,141.006,3733800,0.0,0.0
2019-01-29,141.129,141.914,139.992,141.244,3436900,0.0,0.0
2019-01-30,142.055,142.761,140.6,141.817,4112200,0.0,0.0
2019-01-31,141.755,141.967,138.466,140.274,7438600,0.0,0.0
2019-02-01,140.274,141.544,139.56,140.803,4073400,0.0,0.0
2019-02-04,140.803,142.117,140.406,142.09,5339100,0.0,0.0
2019-02-05,141.764,142.276,141.094,142.24,3357100,0.0,0.0
2019-02-06,141.976,142.875,141.359,141.747,2379600,0.0,0.0
2019-02-07,140.6,142.505,140.15,142.479,3056300,0.0,0.0
2019-02-08,141.597,142.646,141.341,142.611,2986300,0.0,0.0
2019-02-11,143.484,145.177,143.202,144.93,4044800,0.0,0.0
2019-02-12,145.503,148.193,145.397,147.311,3781800,0.0,0.0
2019-02-13,147.143,149.18,146.914,148.925,3886900,0.0,0.0
2019-02-14,147.884,150.371,147.725,149.586,4157500,0.0,0.0
2019-02-15,150.68,151.103,149.674,150.124,3270900,0.0,0.0
2019-02-19,149.313,152.064,149.075,151.085,3889700,0.0,0.0
2019-02-20,151.209,151.614,150.583,150.785,3063600,0.0,0.0
2019-02-21,151.015,151.526,149.498,150.062,3056700,0.0,0.0
2019-02-22,149.824,150.221,148.237,149.965,4345600,0.0,0.0
2019-02-25,150.565,150.565,148.643,149.516,4804200,0.0,0.0
2019-02-26,149.507,150.997,148.784,150.045,3635200,0.0,0.0
2019-02-27,149.788,151.179,148.751,149.859,2544000,0.88,0.0
2019-02-28,149.956,149.974,148.502,148.653,3650700,0.0,0.0
2019-03-01,150.054,150.284,147.846,148.423,3116100,0.0,0.0
2019-03-04,148.334,150.789,147.146,148.36,4341000,0.0,0.0
2019-03-05,148.662,149.974,147.838,147.838,2794900,0.0,0.0
2019-03-06,147.953,148.219,146.685,147.066,3067800,0.0,0.0
2019-03-07,146.924,147.244,145.515,146.206,4141500,0.0,0.0
2019-03-08,145.081,145.799,143.432,145.639,2884600,0.0,0.0
2019-03-11,145.462,147.988,145.09,146.791,4051600,0.0,0.0
2019-03-12,147.137,147.82,145.843,146.109,4723500,0.0,0.0
2019-03-13,147.235,149.734,146.428,147.882,3855100,0.0,0.0
2019-03-14,148.192,148.325,145.905,146.41,3762100,0.0,0.0
2019-03-15,145.808,147.687,145.559,146.26,9732400,0.0,0.0
2019-03-18,146.26,148.538,145.923,147.359,4071700,0.0,0.0
2019-03-19,147.031,147.084,142.102,142.492,5728000,0.0,0.0
2019-03-20,142.811,143.982,141.969,142.714,3802400,0.0,0.0
2019-03-21,141.757,144.726,141.384,144.141,3316700,0.0,0.0
2019-03-22,143.68,143.99,141.881,142.377,3556700,0.0,0.0
2019-03-25,142.457,145.107,142.359,143.157,3137200,0.0,0.0
2019-03-26,144.54,144.54,142.058,143.432,2628200,0.0,0.0
2019-03-27,143.326,145.019,143.157,144.496,2871900,0.0,0.0
2019-03-28,145.16,146.685,145.16,146.437,2829600,0.0,0.0
2019-03-29,147.306,149.043,146.978,148.21,3646900,0.0,0.0
2019-04-01,149.752,151.818,149.389,151.507,3372000,0.0,0.0
2019-04-02,151.286,151.835,149.921,150.497,2259900,0.0,0.0
2019-04-03,151.011,151.596,149.752,150.346,2669100,0.0,0.0
2019-04-04,150.054,150.842,149.194,149.619,2788600,0.0,0.0
2019-04-05,149.947,150.683,149.371,149.557,2214400,0.0,0.0
2019-04-08,149.291,149.637,148.369,149.531,2580800,0.0,0.0
2019-04-09,148.529,148.529,146.942,147.226,3025000,0.0,0.0
2019-04-10,147.908,148.29,146.233,147.456,3551500,0.0,0.0
2019-04-11,147.678,148.059,146.49,147.74,2378400,0.0,0.0
2019-04-12,148.733,150.373,148.032,150.249,3091700,0.0,0.0
2019-04-15,150.249,150.905,148.041,148.591,3052600,0.0,0.0
2019-04-16,148.724,149.229,147.979,148.901,2361400,0.0,0.0
2019-04-17,151.676,152.722,149.513,150.053,5437200,0.0,0.0
2019-04-18,155.301,157.579,154.769,156.595,8684600,0.0,0.0
2019-04-22,156.64,159.157,156.117,157.535,4969700,0.0,0.0
2019-04-23,157.118,157.322,155.425,156.657,3284900,0.0,0.0
2019-04-24,157.375,158.758,156.657,156.755,2859000,0.0,0.0
2019-04-25,155.248,157.021,154.362,155.558,2199900,0.0,0.0
2019-04-26,155.62,157.127,155.239,157.092,2234100,0.0,0.0
2019-04-29,156.959,157.562,156.294,156.374,1836400,0.0,0.0
2019-04-30,156.081,157.482,155.0,156.932,2444100,0.0,0.0
2019-05-01,156.906,157.801,155.168,155.443,2601300,0.0,0.0
2019-05-02,154.734,155.984,154.069,155.913,2313300,0.0,0.0
2019-05-03,157.686,159.574,157.375,158.847,2729500,0.0,0.0
2019-05-06,156.232,159.228,155.727,157.039,2706000,0.0,0.0
